epoch,name,cpu_percent
1785934246,lts-app,18.21
1785934246,lts-prometheus,2.56
1785934246,lts-nginx,0.00
1785934246,lts-cadvisor,0.35
1785934246,lts-pg-exporter,0.00
1785934246,lts-grafana,1.37
1785934246,lts-postgres,7.38
1785934246,loadtest-sim-k6-run-912e75ceab97,8.83
1785934250,loadtest-sim-k6-run-912e75ceab97,7.08
1785934250,lts-app,10.00
1785934250,lts-prometheus,1.60
1785934250,lts-nginx,0.00
1785934250,lts-cadvisor,0.36
1785934250,lts-pg-exporter,0.00
1785934250,lts-grafana,0.76
1785934250,lts-postgres,4.03
1785934254,loadtest-sim-k6-run-912e75ceab97,6.89
1785934254,lts-app,12.94
1785934254,lts-prometheus,2.69
1785934254,lts-nginx,0.00
1785934254,lts-cadvisor,0.22
1785934254,lts-pg-exporter,0.00
1785934254,lts-grafana,0.89
1785934254,lts-postgres,3.89
1785934258,loadtest-sim-k6-run-912e75ceab97,4.16
1785934258,lts-app,8.76
1785934258,lts-prometheus,2.19
1785934258,lts-nginx,0.00
1785934258,lts-cadvisor,0.47
1785934258,lts-pg-exporter,0.00
1785934258,lts-grafana,0.78
1785934258,lts-postgres,8.17
1785934262,loadtest-sim-k6-run-912e75ceab97,4.12
1785934262,lts-app,8.99
1785934262,lts-prometheus,0.92
1785934262,lts-nginx,0.00
1785934262,lts-cadvisor,0.56
1785934262,lts-pg-exporter,0.00
1785934262,lts-grafana,1.14
1785934262,lts-postgres,6.87
1785934266,loadtest-sim-k6-run-912e75ceab97,9.24
1785934266,lts-app,10.98
1785934266,lts-prometheus,1.15
1785934266,lts-nginx,0.00
1785934266,lts-cadvisor,0.69
1785934266,lts-pg-exporter,0.00
1785934266,lts-grafana,1.12
1785934266,lts-postgres,6.97
1785934270,loadtest-sim-k6-run-912e75ceab97,4.23
1785934270,lts-app,8.64
1785934270,lts-prometheus,23.89
1785934270,lts-nginx,0.00
1785934270,lts-cadvisor,0.49
1785934270,lts-pg-exporter,1.17
1785934270,lts-grafana,0.84
1785934270,lts-postgres,4.96
1785934274,loadtest-sim-k6-run-912e75ceab97,5.68
1785934274,lts-app,7.59
1785934274,lts-prometheus,1.34
1785934274,lts-nginx,0.00
1785934274,lts-cadvisor,0.33
1785934274,lts-pg-exporter,1.60
1785934274,lts-grafana,1.33
1785934274,lts-postgres,5.77
1785934278,loadtest-sim-k6-run-912e75ceab97,0.86
1785934278,lts-app,1.95
1785934278,lts-prometheus,1.09
1785934278,lts-nginx,0.00
1785934278,lts-cadvisor,2.41
1785934278,lts-pg-exporter,2.05
1785934278,lts-grafana,2.26
1785934278,lts-postgres,3.33
1785934283,loadtest-sim-k6-run-912e75ceab97,0.60
1785934283,lts-app,1.54
1785934283,lts-prometheus,0.87
1785934283,lts-nginx,0.00
1785934283,lts-cadvisor,4.76
1785934283,lts-pg-exporter,1.67
1785934283,lts-grafana,1.50
1785934283,lts-postgres,2.88
1785934287,loadtest-sim-k6-run-912e75ceab97,19.22
1785934287,lts-app,34.76
1785934287,lts-prometheus,4.07
1785934287,lts-nginx,0.00
1785934287,lts-cadvisor,2.59
1785934287,lts-pg-exporter,1.06
1785934287,lts-grafana,0.81
1785934287,lts-postgres,15.43
1785934291,loadtest-sim-k6-run-912e75ceab97,19.73
1785934291,lts-app,30.39
1785934291,lts-prometheus,29.61
1785934291,lts-nginx,0.00
1785934291,lts-cadvisor,2.27
1785934291,lts-pg-exporter,0.97
1785934291,lts-grafana,0.78
1785934291,lts-postgres,15.76
1785934295,loadtest-sim-k6-run-912e75ceab97,13.41
1785934295,lts-app,24.18
1785934295,lts-prometheus,4.10
1785934295,lts-nginx,0.00
1785934295,lts-cadvisor,2.45
1785934295,lts-pg-exporter,1.09
1785934295,lts-grafana,0.82
1785934295,lts-postgres,17.56
1785934299,loadtest-sim-k6-run-912e75ceab97,13.40
1785934299,lts-app,25.00
1785934299,lts-prometheus,3.22
1785934299,lts-nginx,0.00
1785934299,lts-cadvisor,2.07
1785934299,lts-pg-exporter,0.93
1785934299,lts-grafana,0.76
1785934299,lts-postgres,15.23
1785934303,loadtest-sim-k6-run-912e75ceab97,14.55
1785934303,lts-app,29.19
1785934303,lts-prometheus,17.60
1785934303,lts-nginx,0.00
1785934303,lts-cadvisor,2.69
1785934303,lts-pg-exporter,1.02
1785934303,lts-grafana,0.81
1785934303,lts-postgres,19.87
1785934307,loadtest-sim-k6-run-912e75ceab97,14.89
1785934307,lts-app,29.88
1785934307,lts-prometheus,6.87
1785934307,lts-nginx,0.00
1785934307,lts-cadvisor,1.81
1785934307,lts-pg-exporter,1.08
1785934307,lts-grafana,1.28
1785934307,lts-postgres,19.45
1785934311,loadtest-sim-k6-run-912e75ceab97,18.40
1785934311,lts-app,24.95
1785934311,lts-prometheus,3.03
1785934311,lts-nginx,0.00
1785934311,lts-cadvisor,1.54
1785934311,lts-pg-exporter,0.93
1785934311,lts-grafana,0.76
1785934311,lts-postgres,14.48
1785934315,loadtest-sim-k6-run-912e75ceab97,17.70
1785934315,lts-app,30.45
1785934315,lts-prometheus,5.19
1785934315,lts-nginx,0.00
1785934315,lts-cadvisor,2.17
1785934315,lts-pg-exporter,0.00
1785934315,lts-grafana,0.76
1785934315,lts-postgres,17.03
1785934319,loadtest-sim-k6-run-912e75ceab97,18.45
1785934319,lts-app,23.63
1785934319,lts-prometheus,17.20
1785934319,lts-nginx,0.00
1785934319,lts-cadvisor,2.23
1785934319,lts-pg-exporter,0.00
1785934319,lts-grafana,0.70
1785934319,lts-postgres,15.84
1785934323,loadtest-sim-k6-run-912e75ceab97,12.85
1785934323,lts-app,25.14
1785934323,lts-prometheus,3.40
1785934323,lts-nginx,0.00
1785934323,lts-cadvisor,2.50
1785934323,lts-pg-exporter,0.00
1785934323,lts-grafana,0.71
1785934323,lts-postgres,15.68
