epoch,name,cpu_percent
1785934658,lts-app,20.33
1785934658,lts-prometheus,2.31
1785934658,lts-nginx,0.00
1785934658,lts-cadvisor,0.46
1785934658,lts-pg-exporter,0.00
1785934658,lts-grafana,0.91
1785934658,lts-postgres,5.32
1785934658,loadtest-sim-k6-run-b8524115bdbb,7.25
1785934662,loadtest-sim-k6-run-b8524115bdbb,5.54
1785934662,lts-app,12.93
1785934662,lts-prometheus,1.89
1785934662,lts-nginx,0.00
1785934662,lts-cadvisor,1.36
1785934662,lts-pg-exporter,1.52
1785934662,lts-grafana,1.09
1785934662,lts-postgres,6.64
1785934666,loadtest-sim-k6-run-b8524115bdbb,5.48
1785934666,lts-app,10.96
1785934666,lts-prometheus,1.51
1785934666,lts-nginx,0.00
1785934666,lts-cadvisor,0.63
1785934666,lts-pg-exporter,1.33
1785934666,lts-grafana,1.01
1785934666,lts-postgres,5.26
1785934670,loadtest-sim-k6-run-b8524115bdbb,5.54
1785934670,lts-app,11.59
1785934670,lts-prometheus,1.31
1785934670,lts-nginx,0.00
1785934670,lts-cadvisor,0.36
1785934670,lts-pg-exporter,1.16
1785934670,lts-grafana,1.12
1785934670,lts-postgres,8.62
1785934675,loadtest-sim-k6-run-b8524115bdbb,5.91
1785934675,lts-app,11.97
1785934675,lts-prometheus,2.76
1785934675,lts-nginx,0.00
1785934675,lts-cadvisor,2.74
1785934675,lts-pg-exporter,1.05
1785934675,lts-grafana,1.24
1785934675,lts-postgres,8.51
1785934679,loadtest-sim-k6-run-b8524115bdbb,5.84
1785934679,lts-app,11.76
1785934679,lts-prometheus,2.35
1785934679,lts-nginx,0.00
1785934679,lts-cadvisor,2.94
1785934679,lts-pg-exporter,0.92
1785934679,lts-grafana,0.97
1785934679,lts-postgres,6.37
1785934683,loadtest-sim-k6-run-b8524115bdbb,5.11
1785934683,lts-app,9.30
1785934683,lts-prometheus,1.43
1785934683,lts-nginx,0.00
1785934683,lts-cadvisor,2.62
1785934683,lts-pg-exporter,1.10
1785934683,lts-grafana,0.96
1785934683,lts-postgres,5.19
1785934687,loadtest-sim-k6-run-b8524115bdbb,6.38
1785934687,lts-app,8.55
1785934687,lts-prometheus,3.88
1785934687,lts-nginx,0.00
1785934687,lts-cadvisor,2.74
1785934687,lts-pg-exporter,1.53
1785934687,lts-grafana,1.27
1785934687,lts-postgres,7.96
1785934691,loadtest-sim-k6-run-b8524115bdbb,0.70
1785934691,lts-app,0.94
1785934691,lts-prometheus,5.93
1785934691,lts-nginx,0.00
1785934691,lts-cadvisor,2.49
1785934691,lts-pg-exporter,1.99
1785934691,lts-grafana,1.46
1785934691,lts-postgres,0.03
1785934695,loadtest-sim-k6-run-b8524115bdbb,0.62
1785934695,lts-app,1.19
1785934695,lts-prometheus,0.99
1785934695,lts-nginx,0.00
1785934695,lts-cadvisor,2.35
1785934695,lts-pg-exporter,2.71
1785934695,lts-grafana,1.41
1785934695,lts-postgres,2.41
1785934699,loadtest-sim-k6-run-b8524115bdbb,22.49
1785934699,lts-app,32.73
1785934699,lts-prometheus,50.60
1785934699,lts-nginx,0.00
1785934699,lts-cadvisor,2.07
1785934699,lts-pg-exporter,1.24
1785934699,lts-grafana,0.84
1785934699,lts-postgres,17.98
1785934703,loadtest-sim-k6-run-b8524115bdbb,14.84
1785934703,lts-app,32.20
1785934703,lts-prometheus,44.43
1785934703,lts-nginx,0.00
1785934703,lts-cadvisor,2.65
1785934703,lts-pg-exporter,0.00
1785934703,lts-grafana,0.74
1785934703,lts-postgres,17.31
1785934707,loadtest-sim-k6-run-b8524115bdbb,21.40
1785934707,lts-app,27.23
1785934707,lts-prometheus,47.78
1785934707,lts-nginx,0.00
1785934707,lts-cadvisor,1.58
1785934707,lts-pg-exporter,0.00
1785934707,lts-grafana,0.74
1785934707,lts-postgres,18.90
1785934711,loadtest-sim-k6-run-b8524115bdbb,21.44
1785934711,lts-app,24.19
1785934711,lts-prometheus,2.72
1785934711,lts-nginx,0.00
1785934711,lts-cadvisor,1.56
1785934711,lts-pg-exporter,0.00
1785934711,lts-grafana,0.66
1785934711,lts-postgres,17.90
1785934716,loadtest-sim-k6-run-b8524115bdbb,21.41
1785934716,lts-app,26.97
1785934716,lts-prometheus,3.19
1785934716,lts-nginx,0.00
1785934716,lts-cadvisor,0.37
1785934716,lts-pg-exporter,0.00
1785934716,lts-grafana,0.76
1785934716,lts-postgres,17.87
1785934720,loadtest-sim-k6-run-b8524115bdbb,15.03
1785934720,lts-app,25.87
1785934720,lts-prometheus,2.98
1785934720,lts-nginx,0.00
1785934720,lts-cadvisor,0.37
1785934720,lts-pg-exporter,0.00
1785934720,lts-grafana,0.76
1785934720,lts-postgres,17.94
1785934724,loadtest-sim-k6-run-b8524115bdbb,21.90
1785934724,lts-app,24.90
1785934724,lts-prometheus,3.46
1785934724,lts-nginx,0.00
1785934724,lts-cadvisor,0.95
1785934724,lts-pg-exporter,0.00
1785934724,lts-grafana,0.80
1785934724,lts-postgres,18.89
1785934728,loadtest-sim-k6-run-b8524115bdbb,20.92
1785934728,lts-app,27.46
1785934728,lts-prometheus,18.47
1785934728,lts-nginx,0.00
1785934728,lts-cadvisor,0.52
1785934728,lts-pg-exporter,0.00
1785934728,lts-grafana,0.86
1785934728,lts-postgres,19.86
1785934732,loadtest-sim-k6-run-b8524115bdbb,22.22
1785934732,lts-app,25.31
1785934732,lts-prometheus,55.10
1785934732,lts-nginx,0.00
1785934732,lts-cadvisor,0.46
1785934732,lts-pg-exporter,0.00
1785934732,lts-grafana,0.77
1785934732,lts-postgres,17.07
1785934736,loadtest-sim-k6-run-b8524115bdbb,21.79
1785934736,lts-app,23.97
1785934736,lts-prometheus,46.41
1785934736,lts-nginx,0.00
1785934736,lts-cadvisor,0.53
1785934736,lts-pg-exporter,0.00
1785934736,lts-grafana,0.88
1785934736,lts-postgres,17.35
1785934740,loadtest-sim-k6-run-b8524115bdbb,14.87
1785934740,lts-app,26.29
1785934740,lts-prometheus,45.47
1785934740,lts-nginx,0.00
1785934740,lts-cadvisor,0.39
1785934740,lts-pg-exporter,0.00
1785934740,lts-grafana,0.77
1785934740,lts-postgres,17.25
1785934744,loadtest-sim-k6-run-b8524115bdbb,23.69
1785934744,lts-app,24.26
1785934744,lts-prometheus,37.80
1785934744,lts-nginx,0.00
1785934744,lts-cadvisor,0.32
1785934744,lts-pg-exporter,0.00
1785934744,lts-grafana,0.94
1785934744,lts-postgres,17.06
1785934748,loadtest-sim-k6-run-b8524115bdbb,21.60
1785934748,lts-app,26.42
1785934748,lts-prometheus,41.54
1785934748,lts-nginx,0.00
1785934748,lts-cadvisor,0.46
1785934748,lts-pg-exporter,0.00
1785934748,lts-grafana,0.69
1785934748,lts-postgres,15.58
1785934752,loadtest-sim-k6-run-b8524115bdbb,21.87
1785934752,lts-app,21.80
1785934752,lts-prometheus,3.63
1785934752,lts-nginx,0.00
1785934752,lts-cadvisor,1.18
1785934752,lts-pg-exporter,1.27
1785934752,lts-grafana,0.73
1785934752,lts-postgres,17.37
1785934756,loadtest-sim-k6-run-b8524115bdbb,24.38
1785934756,lts-app,24.24
1785934756,lts-prometheus,4.56
1785934756,lts-nginx,0.00
1785934756,lts-cadvisor,0.39
1785934756,lts-pg-exporter,1.07
1785934756,lts-grafana,0.73
1785934756,lts-postgres,17.90
1785934761,loadtest-sim-k6-run-b8524115bdbb,17.94
1785934761,lts-app,28.79
1785934761,lts-prometheus,5.92
1785934761,lts-nginx,0.00
1785934761,lts-cadvisor,0.27
1785934761,lts-pg-exporter,1.16
1785934761,lts-grafana,0.91
1785934761,lts-postgres,20.25
1785934765,loadtest-sim-k6-run-b8524115bdbb,14.31
1785934765,lts-app,24.14
1785934765,lts-prometheus,3.42
1785934765,lts-nginx,0.00
1785934765,lts-cadvisor,1.61
1785934765,lts-pg-exporter,1.30
1785934765,lts-grafana,0.85
1785934765,lts-postgres,16.96
1785934769,loadtest-sim-k6-run-b8524115bdbb,14.36
1785934769,lts-app,24.88
1785934769,lts-prometheus,20.34
1785934769,lts-nginx,0.00
1785934769,lts-cadvisor,2.75
1785934769,lts-pg-exporter,1.02
1785934769,lts-grafana,0.79
1785934769,lts-postgres,16.96
1785934773,loadtest-sim-k6-run-b8524115bdbb,17.93
1785934773,lts-app,32.39
1785934773,lts-prometheus,22.89
1785934773,lts-nginx,0.00
1785934773,lts-cadvisor,4.24
1785934773,lts-pg-exporter,1.59
