epoch,name,cpu_percent
1785934795,lts-app,21.34
1785934795,lts-prometheus,2.62
1785934795,lts-nginx,0.00
1785934795,lts-cadvisor,2.59
1785934795,lts-pg-exporter,0.00
1785934795,lts-grafana,0.89
1785934795,lts-postgres,6.86
1785934795,loadtest-sim-k6-run-4ff280f7281c,9.11
1785934799,loadtest-sim-k6-run-4ff280f7281c,9.73
1785934799,lts-app,22.69
1785934799,lts-prometheus,2.30
1785934799,lts-nginx,0.00
1785934799,lts-cadvisor,1.55
1785934799,lts-pg-exporter,0.03
1785934799,lts-grafana,0.83
1785934799,lts-postgres,7.68
1785934803,loadtest-sim-k6-run-4ff280f7281c,15.77
1785934803,lts-app,21.54
1785934803,lts-prometheus,2.05
1785934803,lts-nginx,0.00
1785934803,lts-cadvisor,4.00
1785934803,lts-pg-exporter,0.00
1785934803,lts-grafana,3.78
1785934803,lts-postgres,9.97
1785934807,loadtest-sim-k6-run-4ff280f7281c,14.10
1785934807,lts-app,18.78
1785934807,lts-prometheus,1.73
1785934807,lts-nginx,0.00
1785934807,lts-cadvisor,2.58
1785934807,lts-pg-exporter,0.00
1785934807,lts-grafana,0.87
1785934807,lts-postgres,7.18
1785934812,loadtest-sim-k6-run-4ff280f7281c,9.58
1785934812,lts-app,17.40
1785934812,lts-prometheus,2.60
1785934812,lts-nginx,0.00
1785934812,lts-cadvisor,2.02
1785934812,lts-pg-exporter,0.00
1785934812,lts-grafana,1.17
1785934812,lts-postgres,7.05
1785934816,loadtest-sim-k6-run-4ff280f7281c,8.90
1785934816,lts-app,22.39
1785934816,lts-prometheus,1.51
1785934816,lts-nginx,0.00
1785934816,lts-cadvisor,0.58
1785934816,lts-pg-exporter,0.00
1785934816,lts-grafana,0.94
1785934816,lts-postgres,8.58
1785934820,loadtest-sim-k6-run-4ff280f7281c,12.92
1785934820,lts-app,15.82
1785934820,lts-prometheus,1.06
1785934820,lts-nginx,0.00
1785934820,lts-cadvisor,2.31
1785934820,lts-pg-exporter,0.00
1785934820,lts-grafana,0.83
1785934820,lts-postgres,4.24
1785934824,loadtest-sim-k6-run-4ff280f7281c,6.23
1785934824,lts-app,15.71
1785934824,lts-prometheus,1.89
1785934824,lts-nginx,0.00
1785934824,lts-cadvisor,0.58
1785934824,lts-pg-exporter,0.00
1785934824,lts-grafana,1.16
1785934824,lts-postgres,2.89
1785934828,loadtest-sim-k6-run-4ff280f7281c,0.96
1785934828,lts-app,0.89
1785934828,lts-prometheus,0.36
1785934828,lts-nginx,0.00
1785934828,lts-cadvisor,0.92
1785934828,lts-pg-exporter,0.00
1785934828,lts-grafana,1.71
1785934828,lts-postgres,0.05
1785934832,loadtest-sim-k6-run-4ff280f7281c,0.63
1785934832,lts-app,5.37
1785934832,lts-prometheus,0.82
1785934832,lts-nginx,0.00
1785934832,lts-cadvisor,0.87
1785934832,lts-pg-exporter,0.00
1785934832,lts-grafana,1.37
1785934832,lts-postgres,0.01
1785934836,loadtest-sim-k6-run-4ff280f7281c,42.11
1785934836,lts-app,73.76
1785934836,lts-prometheus,50.48
1785934836,lts-nginx,0.00
1785934836,lts-cadvisor,0.45
1785934836,lts-pg-exporter,0.87
1785934836,lts-grafana,0.81
1785934836,lts-postgres,18.03
1785934840,loadtest-sim-k6-run-4ff280f7281c,39.24
1785934840,lts-app,68.37
1785934840,lts-prometheus,38.43
1785934840,lts-nginx,0.00
1785934840,lts-cadvisor,0.33
1785934840,lts-pg-exporter,1.07
1785934840,lts-grafana,0.74
1785934840,lts-postgres,20.07
1785934844,loadtest-sim-k6-run-4ff280f7281c,39.73
1785934844,lts-app,64.98
1785934844,lts-prometheus,5.27
1785934844,lts-nginx,0.00
1785934844,lts-cadvisor,0.30
1785934844,lts-pg-exporter,1.23
1785934844,lts-grafana,1.02
1785934844,lts-postgres,20.00
1785934848,loadtest-sim-k6-run-4ff280f7281c,44.92
1785934848,lts-app,69.86
1785934848,lts-prometheus,50.99
1785934848,lts-nginx,0.00
1785934848,lts-cadvisor,0.71
1785934848,lts-pg-exporter,1.82
1785934848,lts-grafana,0.96
1785934848,lts-postgres,21.72
1785934853,loadtest-sim-k6-run-4ff280f7281c,46.91
1785934853,lts-app,73.04
1785934853,lts-prometheus,52.52
1785934853,lts-nginx,0.00
1785934853,lts-cadvisor,0.64
1785934853,lts-pg-exporter,1.58
1785934853,lts-grafana,0.85
1785934853,lts-postgres,19.96
1785934857,loadtest-sim-k6-run-4ff280f7281c,44.43
1785934857,lts-app,63.87
1785934857,lts-prometheus,10.47
1785934857,lts-nginx,0.00
1785934857,lts-cadvisor,1.94
1785934857,lts-pg-exporter,1.11
1785934857,lts-grafana,0.96
1785934857,lts-postgres,18.35
1785934861,loadtest-sim-k6-run-4ff280f7281c,39.34
1785934861,lts-app,66.44
1785934861,lts-prometheus,13.80
1785934861,lts-nginx,0.00
1785934861,lts-cadvisor,1.37
1785934861,lts-pg-exporter,1.02
1785934861,lts-grafana,0.73
1785934861,lts-postgres,17.45
1785934865,loadtest-sim-k6-run-4ff280f7281c,41.06
1785934865,lts-app,75.13
1785934865,lts-prometheus,19.17
1785934865,lts-nginx,0.00
1785934865,lts-cadvisor,1.72
1785934865,lts-pg-exporter,0.74
1785934865,lts-grafana,0.99
1785934865,lts-postgres,18.16
1785934869,loadtest-sim-k6-run-4ff280f7281c,39.81
1785934869,lts-app,66.30
1785934869,lts-prometheus,21.80
1785934869,lts-nginx,0.00
1785934869,lts-cadvisor,1.69
1785934869,lts-pg-exporter,1.01
1785934869,lts-grafana,0.72
1785934869,lts-postgres,18.71
1785934873,loadtest-sim-k6-run-4ff280f7281c,40.11
1785934873,lts-app,66.93
1785934873,lts-prometheus,26.76
1785934873,lts-nginx,0.00
1785934873,lts-cadvisor,1.44
1785934873,lts-pg-exporter,0.91
1785934873,lts-grafana,0.78
1785934873,lts-postgres,17.89
1785934877,loadtest-sim-k6-run-4ff280f7281c,43.37
1785934877,lts-app,89.55
1785934877,lts-prometheus,35.46
1785934877,lts-nginx,0.00
1785934877,lts-cadvisor,2.60
1785934877,lts-pg-exporter,6.65
1785934877,lts-grafana,4.15
1785934877,lts-postgres,28.29
1785934881,loadtest-sim-k6-run-4ff280f7281c,40.82
1785934881,lts-app,66.16
1785934881,lts-prometheus,35.95
1785934881,lts-nginx,0.00
1785934881,lts-cadvisor,2.25
1785934881,lts-pg-exporter,1.03
1785934881,lts-grafana,0.83
