epoch,name,cpu_percent
1785934932,lts-app,14.12
1785934932,lts-prometheus,1.33
1785934932,lts-nginx,1.04
1785934932,lts-cadvisor,0.94
1785934932,lts-pg-exporter,0.00
1785934932,lts-grafana,0.87
1785934932,lts-postgres,4.46
1785934932,loadtest-sim-k6-run-212ccbdcfb85,8.21
1785934936,loadtest-sim-k6-run-212ccbdcfb85,4.39
1785934936,lts-app,10.35
1785934936,lts-prometheus,36.54
1785934936,lts-nginx,0.91
1785934936,lts-cadvisor,0.47
1785934936,lts-pg-exporter,0.00
1785934936,lts-grafana,1.00
1785934936,lts-postgres,7.33
1785934940,loadtest-sim-k6-run-212ccbdcfb85,4.78
1785934940,lts-app,12.03
1785934940,lts-prometheus,1.21
1785934940,lts-nginx,1.01
1785934940,lts-cadvisor,0.39
1785934940,lts-pg-exporter,0.13
1785934940,lts-grafana,0.85
1785934940,lts-postgres,6.36
1785934944,loadtest-sim-k6-run-212ccbdcfb85,5.49
1785934944,lts-app,11.22
1785934944,lts-prometheus,1.38
1785934944,lts-nginx,1.10
1785934944,lts-cadvisor,2.52
1785934944,lts-pg-exporter,1.36
1785934944,lts-grafana,1.20
1785934944,lts-postgres,8.45
1785934948,loadtest-sim-k6-run-212ccbdcfb85,12.68
1785934948,lts-app,12.75
1785934948,lts-prometheus,2.39
1785934948,lts-nginx,1.22
1785934948,lts-cadvisor,0.62
1785934948,lts-pg-exporter,1.65
1785934948,lts-grafana,1.05
1785934948,lts-postgres,9.40
1785934952,loadtest-sim-k6-run-212ccbdcfb85,5.55
1785934952,lts-app,12.66
1785934952,lts-prometheus,1.44
1785934952,lts-nginx,1.14
1785934952,lts-cadvisor,0.76
1785934952,lts-pg-exporter,1.30
1785934952,lts-grafana,1.13
1785934952,lts-postgres,8.88
1785934957,loadtest-sim-k6-run-212ccbdcfb85,5.23
1785934957,lts-app,8.06
1785934957,lts-prometheus,50.29
1785934957,lts-nginx,0.87
1785934957,lts-cadvisor,0.79
1785934957,lts-pg-exporter,1.01
