epoch,name,cpu_percent
1785935069,lts-app,12.53
1785935069,lts-prometheus,2.07
1785935069,lts-nginx,1.92
1785935069,lts-cadvisor,3.02
1785935069,lts-pg-exporter,0.00
1785935069,lts-grafana,0.83
1785935069,lts-postgres,7.23
1785935069,loadtest-sim-k6-run-1cf7ab8a556b,6.01
1785935073,loadtest-sim-k6-run-1cf7ab8a556b,5.79
1785935073,lts-app,11.91
1785935073,lts-prometheus,1.66
1785935073,lts-nginx,1.30
1785935073,lts-cadvisor,3.42
1785935073,lts-pg-exporter,1.27
1785935073,lts-grafana,0.93
1785935073,lts-postgres,4.50
1785935077,loadtest-sim-k6-run-1cf7ab8a556b,7.34
1785935077,lts-app,12.45
1785935077,lts-prometheus,25.40
1785935077,lts-nginx,1.02
1785935077,lts-cadvisor,2.04
1785935077,lts-pg-exporter,0.91
1785935077,lts-grafana,0.86
1785935077,lts-postgres,6.89
1785935081,loadtest-sim-k6-run-1cf7ab8a556b,9.35
1785935081,lts-app,9.77
1785935081,lts-prometheus,1.50
1785935081,lts-nginx,1.23
1785935081,lts-cadvisor,0.42
1785935081,lts-pg-exporter,0.89
1785935081,lts-grafana,0.91
1785935081,lts-postgres,7.34
1785935085,loadtest-sim-k6-run-1cf7ab8a556b,10.63
1785935085,lts-app,10.09
1785935085,lts-prometheus,1.68
1785935085,lts-nginx,1.23
1785935085,lts-cadvisor,2.32
1785935085,lts-pg-exporter,0.97
1785935085,lts-grafana,0.94
1785935085,lts-postgres,5.00
1785935089,loadtest-sim-k6-run-1cf7ab8a556b,4.78
1785935089,lts-app,10.72
1785935089,lts-prometheus,1.82
1785935089,lts-nginx,1.19
1785935089,lts-cadvisor,1.68
1785935089,lts-pg-exporter,0.08
1785935089,lts-grafana,0.90
1785935089,lts-postgres,6.20
1785935093,loadtest-sim-k6-run-1cf7ab8a556b,4.89
1785935093,lts-app,9.34
1785935093,lts-prometheus,1.65
1785935093,lts-nginx,1.27
1785935093,lts-cadvisor,2.45
1785935093,lts-pg-exporter,0.00
1785935093,lts-grafana,0.88
1785935093,lts-postgres,5.81
1785935097,loadtest-sim-k6-run-1cf7ab8a556b,4.29
1785935097,lts-app,8.55
1785935097,lts-prometheus,1.19
1785935097,lts-nginx,1.24
1785935097,lts-cadvisor,2.42
1785935097,lts-pg-exporter,0.00
1785935097,lts-grafana,1.03
1785935097,lts-postgres,4.86
1785935102,loadtest-sim-k6-run-1cf7ab8a556b,0.74
1785935102,lts-app,0.94
1785935102,lts-prometheus,0.59
1785935102,lts-nginx,0.00
1785935102,lts-cadvisor,2.35
1785935102,lts-pg-exporter,0.00
1785935102,lts-grafana,1.72
1785935102,lts-postgres,3.36
1785935106,loadtest-sim-k6-run-1cf7ab8a556b,0.61
1785935106,lts-app,1.18
1785935106,lts-prometheus,0.55
1785935106,lts-nginx,0.00
1785935106,lts-cadvisor,0.66
1785935106,lts-pg-exporter,0.00
1785935106,lts-grafana,1.83
1785935106,lts-postgres,0.06
1785935110,loadtest-sim-k6-run-1cf7ab8a556b,20.90
1785935110,lts-app,35.16
1785935110,lts-prometheus,12.89
1785935110,lts-nginx,7.42
1785935110,lts-cadvisor,0.60
1785935110,lts-pg-exporter,0.00
1785935110,lts-grafana,4.44
1785935110,lts-postgres,24.96
1785935114,loadtest-sim-k6-run-1cf7ab8a556b,13.16
1785935114,lts-app,27.03
1785935114,lts-prometheus,3.22
1785935114,lts-nginx,3.53
1785935114,lts-cadvisor,1.56
1785935114,lts-pg-exporter,0.00
1785935114,lts-grafana,1.83
1785935114,lts-postgres,14.19
1785935118,loadtest-sim-k6-run-1cf7ab8a556b,12.76
1785935118,lts-app,23.00
1785935118,lts-prometheus,3.06
1785935118,lts-nginx,3.54
1785935118,lts-cadvisor,0.37
1785935118,lts-pg-exporter,0.00
1785935118,lts-grafana,0.69
1785935118,lts-postgres,17.99
1785935122,loadtest-sim-k6-run-1cf7ab8a556b,13.78
1785935122,lts-app,24.15
1785935122,lts-prometheus,3.49
1785935122,lts-nginx,3.67
1785935122,lts-cadvisor,2.03
1785935122,lts-pg-exporter,0.00
1785935122,lts-grafana,0.76
1785935122,lts-postgres,14.77
1785935126,loadtest-sim-k6-run-1cf7ab8a556b,13.71
1785935126,lts-app,24.93
1785935126,lts-prometheus,46.49
1785935126,lts-nginx,3.76
1785935126,lts-cadvisor,0.84
1785935126,lts-pg-exporter,0.00
1785935126,lts-grafana,0.79
1785935126,lts-postgres,15.37
1785935130,loadtest-sim-k6-run-1cf7ab8a556b,13.42
1785935130,lts-app,23.45
1785935130,lts-prometheus,49.28
1785935130,lts-nginx,3.59
1785935130,lts-cadvisor,0.26
1785935130,lts-pg-exporter,0.00
1785935130,lts-grafana,0.74
1785935130,lts-postgres,14.85
1785935134,loadtest-sim-k6-run-1cf7ab8a556b,13.60
1785935134,lts-app,24.42
1785935134,lts-prometheus,51.25
1785935134,lts-nginx,3.76
1785935134,lts-cadvisor,0.48
1785935134,lts-pg-exporter,0.00
1785935134,lts-grafana,0.85
1785935134,lts-postgres,19.01
1785935138,loadtest-sim-k6-run-1cf7ab8a556b,19.56
1785935138,lts-app,31.83
1785935138,lts-prometheus,50.53
1785935138,lts-nginx,3.91
1785935138,lts-cadvisor,0.52
1785935138,lts-pg-exporter,0.00
1785935138,lts-grafana,0.76
1785935138,lts-postgres,16.45
1785935142,loadtest-sim-k6-run-1cf7ab8a556b,20.82
1785935142,lts-app,27.17
1785935142,lts-prometheus,51.10
1785935142,lts-nginx,3.92
1785935142,lts-cadvisor,0.41
1785935142,lts-pg-exporter,0.96
1785935142,lts-grafana,0.82
1785935142,lts-postgres,16.70
1785935146,loadtest-sim-k6-run-1cf7ab8a556b,14.50
1785935146,lts-app,24.24
1785935146,lts-prometheus,13.39
1785935146,lts-nginx,3.69
1785935146,lts-cadvisor,0.32
1785935146,lts-pg-exporter,1.10
1785935146,lts-grafana,0.65
1785935146,lts-postgres,16.14
1785935151,loadtest-sim-k6-run-1cf7ab8a556b,21.37
1785935151,lts-app,22.54
1785935151,lts-prometheus,9.83
1785935151,lts-nginx,3.70
1785935151,lts-cadvisor,1.43
1785935151,lts-pg-exporter,0.72
1785935151,lts-grafana,0.73
1785935151,lts-postgres,17.72
1785935155,loadtest-sim-k6-run-1cf7ab8a556b,31.16
1785935155,lts-app,33.68
1785935155,lts-prometheus,4.79
1785935155,lts-nginx,4.84
1785935155,lts-cadvisor,3.36
1785935155,lts-pg-exporter,1.19
1785935155,lts-grafana,1.08
1785935155,lts-postgres,15.75
1785935159,loadtest-sim-k6-run-1cf7ab8a556b,22.49
1785935159,lts-app,23.38
1785935159,lts-prometheus,4.26
1785935159,lts-nginx,3.77
1785935159,lts-cadvisor,1.64
1785935159,lts-pg-exporter,1.21
1785935159,lts-grafana,0.79
1785935159,lts-postgres,18.08
1785935163,loadtest-sim-k6-run-1cf7ab8a556b,14.47
1785935163,lts-app,23.78
1785935163,lts-prometheus,3.58
1785935163,lts-nginx,3.87
1785935163,lts-cadvisor,1.66
1785935163,lts-pg-exporter,0.85
1785935163,lts-grafana,0.75
1785935163,lts-postgres,17.23
1785935167,loadtest-sim-k6-run-1cf7ab8a556b,21.83
1785935167,lts-app,23.32
1785935167,lts-prometheus,3.58
1785935167,lts-nginx,3.77
1785935167,lts-cadvisor,1.53
1785935167,lts-pg-exporter,1.06
1785935167,lts-grafana,0.72
1785935167,lts-postgres,16.32
1785935171,loadtest-sim-k6-run-1cf7ab8a556b,22.23
1785935171,lts-app,26.14
1785935171,lts-prometheus,7.01
1785935171,lts-nginx,3.81
1785935171,lts-cadvisor,2.20
1785935171,lts-pg-exporter,1.00
1785935171,lts-grafana,0.76
1785935171,lts-postgres,17.79
1785935175,loadtest-sim-k6-run-1cf7ab8a556b,20.57
1785935175,lts-app,24.73
1785935175,lts-prometheus,3.87
1785935175,lts-nginx,3.89
1785935175,lts-cadvisor,2.10
1785935175,lts-pg-exporter,0.92
1785935175,lts-grafana,0.75
1785935175,lts-postgres,16.59
1785935179,loadtest-sim-k6-run-1cf7ab8a556b,16.64
1785935179,lts-app,26.79
1785935179,lts-prometheus,49.86
1785935179,lts-nginx,4.46
1785935179,lts-cadvisor,2.23
1785935179,lts-pg-exporter,0.00
1785935179,lts-grafana,0.84
1785935179,lts-postgres,18.86
1785935183,loadtest-sim-k6-run-1cf7ab8a556b,14.15
1785935183,lts-app,26.40
1785935183,lts-prometheus,49.78
1785935183,lts-nginx,3.85
1785935183,lts-cadvisor,1.50
1785935183,lts-pg-exporter,0.89
1785935183,lts-grafana,0.70
1785935183,lts-postgres,15.62
1785935187,loadtest-sim-k6-run-1cf7ab8a556b,14.83
1785935187,lts-app,24.15
1785935187,lts-prometheus,51.33
