epoch,name,cpu_percent
1785935208,lts-app,14.81
1785935208,lts-prometheus,0.64
1785935208,lts-nginx,4.24
1785935208,lts-cadvisor,0.31
1785935208,lts-pg-exporter,0.00
1785935208,lts-grafana,0.93
1785935208,lts-postgres,4.11
1785935208,loadtest-sim-k6-run-c81391a0bcdc,11.62
1785935212,loadtest-sim-k6-run-c81391a0bcdc,12.90
1785935212,lts-app,10.49
1785935212,lts-prometheus,1.28
1785935212,lts-nginx,4.54
1785935212,lts-cadvisor,0.55
1785935212,lts-pg-exporter,0.00
1785935212,lts-grafana,0.79
1785935212,lts-postgres,4.33
1785935216,loadtest-sim-k6-run-c81391a0bcdc,9.92
1785935216,lts-app,10.64
1785935216,lts-prometheus,1.56
1785935216,lts-nginx,4.76
1785935216,lts-cadvisor,0.46
1785935216,lts-pg-exporter,0.00
1785935216,lts-grafana,0.97
1785935216,lts-postgres,4.63
1785935220,loadtest-sim-k6-run-c81391a0bcdc,12.33
1785935220,lts-app,9.23
1785935220,lts-prometheus,50.34
1785935220,lts-nginx,4.02
1785935220,lts-cadvisor,0.50
1785935220,lts-pg-exporter,0.00
1785935220,lts-grafana,0.74
1785935220,lts-postgres,3.66
1785935224,loadtest-sim-k6-run-c81391a0bcdc,9.82
1785935224,lts-app,9.81
1785935224,lts-prometheus,1.48
1785935224,lts-nginx,4.88
1785935224,lts-cadvisor,0.48
1785935224,lts-pg-exporter,0.00
1785935224,lts-grafana,0.88
1785935224,lts-postgres,4.74
1785935228,loadtest-sim-k6-run-c81391a0bcdc,13.78
1785935228,lts-app,9.41
1785935228,lts-prometheus,1.44
1785935228,lts-nginx,4.34
1785935228,lts-cadvisor,0.54
1785935228,lts-pg-exporter,0.00
1785935228,lts-grafana,0.91
1785935228,lts-postgres,7.40
1785935232,loadtest-sim-k6-run-c81391a0bcdc,9.29
1785935232,lts-app,10.97
1785935232,lts-prometheus,0.96
1785935232,lts-nginx,4.30
1785935232,lts-cadvisor,0.81
1785935232,lts-pg-exporter,0.00
1785935232,lts-grafana,0.96
1785935232,lts-postgres,4.18
1785935236,loadtest-sim-k6-run-c81391a0bcdc,7.90
1785935236,lts-app,7.78
1785935236,lts-prometheus,19.02
1785935236,lts-nginx,3.58
1785935236,lts-cadvisor,0.55
1785935236,lts-pg-exporter,0.00
1785935236,lts-grafana,0.89
1785935236,lts-postgres,7.78
1785935240,loadtest-sim-k6-run-c81391a0bcdc,1.24
1785935240,lts-app,1.03
1785935240,lts-prometheus,0.52
1785935240,lts-nginx,0.00
1785935240,lts-cadvisor,0.82
1785935240,lts-pg-exporter,0.00
1785935240,lts-grafana,2.08
1785935240,lts-postgres,0.02
1785935244,loadtest-sim-k6-run-c81391a0bcdc,2.66
1785935244,lts-app,1.20
1785935244,lts-prometheus,0.79
1785935244,lts-nginx,0.00
1785935244,lts-cadvisor,0.89
1785935244,lts-pg-exporter,1.83
1785935244,lts-grafana,3.45
1785935244,lts-postgres,1.59
1785935248,loadtest-sim-k6-run-c81391a0bcdc,43.23
1785935248,lts-app,28.83
1785935248,lts-prometheus,4.47
1785935248,lts-nginx,17.70
1785935248,lts-cadvisor,0.38
1785935248,lts-pg-exporter,0.99
1785935248,lts-grafana,0.68
1785935248,lts-postgres,17.63
1785935253,loadtest-sim-k6-run-c81391a0bcdc,35.55
1785935253,lts-app,30.28
1785935253,lts-prometheus,4.34
1785935253,lts-nginx,18.33
1785935253,lts-cadvisor,1.45
1785935253,lts-pg-exporter,1.25
1785935253,lts-grafana,0.85
1785935253,lts-postgres,18.77
1785935257,loadtest-sim-k6-run-c81391a0bcdc,40.74
1785935257,lts-app,30.57
1785935257,lts-prometheus,12.07
1785935257,lts-nginx,17.84
1785935257,lts-cadvisor,0.29
1785935257,lts-pg-exporter,1.24
1785935257,lts-grafana,0.69
1785935257,lts-postgres,18.56
1785935261,loadtest-sim-k6-run-c81391a0bcdc,39.89
1785935261,lts-app,26.12
1785935261,lts-prometheus,46.57
1785935261,lts-nginx,18.38
1785935261,lts-cadvisor,2.17
1785935261,lts-pg-exporter,0.91
1785935261,lts-grafana,0.77
1785935261,lts-postgres,17.14
1785935265,loadtest-sim-k6-run-c81391a0bcdc,41.28
